acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax
all;1334.33;262144;261287.44;261486.0;"2022-02-04T16:41:13.455205";0;100000;2349.75;"Aall_B262144,part=1,rate=50000";1;"74239.87,75425.7,76285.14,83028.52,79079.55,79765.45999999999,83078.77,80083.72,83045.38,82944.79000000001,80150.68000000001,81639.82,82292.47,80568.94,83998.99,79999.94,80652.26,83329.69,81104.37,81238.54000000001";"72.5,73.64999999999999,74.5,81.08,77.23,77.9,81.14,78.2,81.09,81.0,78.27,79.73,80.36,78.68,82.03,78.12,78.75999999999999,81.38,79.19,79.34";0.38;251.0;1373.92;1804.75;80827.52;2.9272112E7;1117.0;1117.0;28.51;251.0;24295801
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
all;1073.81;262144;118740.48;261537.25;"2022-02-04T16:55:24.583551";0;100000;6595.25;"Aall_B262144,part=10,rate=50000";10;"77853.51999999999,81787.20000000001,83635.19,83541.28,84763.79000000001,84089.78,83909.65,81461.03,83913.56,84224.86,78055.4,74118.83,80300.68,81316.91,81830.01000000001,83753.73,78884.63,84727.32999999999,83427.48,82930.66";"76.02,79.87,81.68,81.58,82.78,82.11,81.94,79.56,81.96,82.25,76.22,72.39,78.41999999999999,79.41,79.91,81.8,77.03999999999999,82.74,81.47,80.99000000000001";0.29;302.58;407.29;5704.25;81141.19;2.9761185E7;1117.0;1117.0;81.89;447.75;24668764
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
all;1219.54;32768;15356.88;32311.75;"2022-02-04T17:03:45.766313";0;100000;9709.25;"Aall_B32768,part=10,rate=50000";10;"69961.13,78751.98,77637.16,79022.06,76300.05,77481.54000000001,74742.35,77121.32,72442.38,76036.52,73278.89,76072.89,76667.42,75938.83,77391.06999999999,78982.51000000001,78785.53,76782.92,77938.09,79749.14";"68.32,93.31,75.82,77.17,74.51,75.67,72.99000000000001,75.32,70.75,74.26,71.55,74.28999999999999,74.87,74.16,75.58,77.13,57.75,74.99,76.1,77.88";0.31;43.66;563.4;7142.75;72390.94;2.7658394E7;1117.0;1117.0;22.15;179.25;22768044
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
all;1888.22;32768;32300.4;32315.25;"2022-02-04T17:15:23.815469";0;100000;3490.0;"Aall_B32768,part=1,rate=50000";1;"52543.96,53861.18,58629.67,55817.11,57939.490000000005,56222.1,58297.05,55953.53,57567.479999999996,57945.770000000004,55343.350000000006,59464.65,56616.88,58788.96,55542.21,58712.36,55626.68000000001,58784.8,55329.380000000005,57912.68";"51.31999999999999,52.61,57.260000000000005,54.5,56.59,54.900000000000006,56.93,54.64,56.22,56.59,54.05,58.08,55.28,57.41,54.239999999999995,57.34,54.32,57.41,54.04,56.56";0.32;31.0;1877.29;2834.0;54810.46;2.0681214E7;1117.0;1117.0;10.35;175.0;17151082
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
all;3273.95;16384;15660.83;15668.0;"2022-02-04T17:27:55.447467";0;100000;4925.25;"Aall_B16384,part=1,rate=50000";1;"25339.49,31910.95,31751.04,32056.1,31762.04,31357.14,31420.030000000002,31982.89,30928.12,31677.1,31741.16,31779.379999999997,31507.24,31933.14,32099.1,31447.15,31419.089999999997,31980.12,31568.280000000002,31790.22";"24.75,31.17,31.0,31.299999999999997,31.02,30.62,30.68,31.240000000000002,30.2,30.93,30.990000000000002,31.03,30.770000000000003,31.18,31.35,30.71,30.68,31.220000000000002,30.83,31.05";0.3;15.0;3244.43;4860.25;30134.77;1.1483281E7;1117.0;1117.0;9.46;89.0;9505272
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
